-- Parameters range: 
activation ; [<function tanh at 0x7f8617a3b670>]
learning_rate ; [0.001, 0.01]
hops ; [1, 2, 3]

-- Best parameters: 
activation ; <function tanh at 0x7f8617a3b670>
learning_rate ; 0.001
hops ; 3
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;activation;learning_rate;hops
0;0.9082831263542175;0.884323263168335;0.8914170265197754;32.6;<function tanh at 0x7f8617a3b670>;0.001;3
1;0.9065888524055481;0.887010109424591;0.8875307083129883;30.0;<function tanh at 0x7f8617a3b670>;0.001;3
2;0.9108810186386108;0.8888036012649536;0.8891748905181884;32.2;<function tanh at 0x7f8617a3b670>;0.001;3
3;0.9069653630256653;0.8838734269142151;0.8910881876945496;32.8;<function tanh at 0x7f8617a3b670>;0.001;3
4;0.905948805809021;0.8844709992408752;0.8957218766212464;33.4;<function tanh at 0x7f8617a3b670>;0.001;3
5;0.905948793888092;0.8850679993629456;0.8940178751945496;32.0;<function tanh at 0x7f8617a3b670>;0.001;3
6;0.9075301170349122;0.8838754415512085;0.889922297000885;29.4;<function tanh at 0x7f8617a3b670>;0.001;3
7;0.9101656556129456;0.8894026160240174;0.8905799269676209;31.8;<function tanh at 0x7f8617a3b670>;0.001;3
8;0.9083960890769959;0.8859658718109131;0.8872915267944336;32.2;<function tanh at 0x7f8617a3b670>;0.001;3
9;0.9017695903778076;0.8808847665786743;0.8918355584144593;31.4;<function tanh at 0x7f8617a3b670>;0.001;3
MEAN;0.9072477412223815;0.8853678095340729;0.8908579874038697;31.779999999999994;;;
STD;0.0024100600909530106;0.002401716122864967;0.002500790831848958;1.1711532777565883;;;

