-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 64
mode ; 0.06999999999999999

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden
0;0.9083207845687866;0.8926915049552917;0.8900149703025818;14.0;0.01;64
1;0.9101656675338745;0.8888057947158814;0.8846935749053955;13.4;0.01;64
2;0.9070030093193054;0.890000069141388;0.8866367816925049;12.6;0.01;64
3;0.9010918617248536;0.8856666684150696;0.8975187063217163;12.8;0.01;64
4;0.9088855266571045;0.8908973574638367;0.897907304763794;15.4;0.01;64
5;0.902786135673523;0.8835749149322509;0.8957548499107361;16.4;0.01;32
6;0.9030873417854309;0.8820819139480591;0.8849327802658081;12.8;0.01;64
7;0.9086220026016235;0.8871614336967468;0.8899850487709046;13.8;0.01;64
8;0.8917545199394226;0.881931209564209;0.8861883521080017;23.6;0.001;64
9;0.8947665572166443;0.8825286984443664;0.8864275217056274;21.6;0.001;64
MEAN;0.9036483407020569;0.88653395652771;0.8900059890747072;15.639999999999997;;
STD;0.0059638013375946505;0.0037560584960595906;0.004945828152628504;3.687600846078654;;

