-- Parameters range: 
learning_rate ; [0.01]
hidden ; [64]
wavelet_s ; [0.0625]
sparse_ness ; [False]
sparse_mode ; [False]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 64
wavelet_s ; 0.0625
sparse_ness ; False
sparse_mode ; False
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden;wavelet_s;sparse_ness;sparse_mode
0;0.959676206111908;0.89881831407547;0.8993391513824462;14.4;0.01;64;0.0625;False;False
1;0.9608433842658997;0.8995649814605713;0.8957219004631043;14.4;0.01;64;0.0625;False;False
2;0.9594503045082092;0.8952294230461121;0.8991598010063171;14.2;0.01;64;0.0625;False;False
3;0.9553463816642761;0.8871615648269653;0.8955425262451172;13.8;0.01;64;0.0625;False;False
4;0.9611069321632385;0.8944838166236877;0.8951539158821106;14.4;0.01;64;0.0625;False;False
5;0.956249988079071;0.8944836020469665;0.9013421416282654;13.4;0.01;64;0.0625;False;False
6;0.960918664932251;0.8977744936943054;0.8947652578353882;14.6;0.01;64;0.0625;False;False
7;0.9597138404846192;0.8985195755958557;0.8976650595664978;14.4;0.01;64;0.0625;False;False
8;0.9580948829650879;0.8941858530044555;0.8981732964515686;14.4;0.01;64;0.0625;False;False
9;0.9608057260513305;0.8923925757408142;0.89482501745224;15.2;0.01;64;0.0625;False;False
MEAN;0.959220631122589;0.8952614200115203;0.8971688067913055;14.319999999999999;;;;;
STD;0.0019285407932699604;0.003525744051151759;0.0021774974472364467;0.4489988864128727;;;;;

