-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden_layer_sizes ; [16, 32, 64]
activation ; [<function relu at 0x000002392EF6B438>, <function tanh at 0x000002392ED5AEE8>, <function sigmoid at 0x000002392EF90F78>]

-- Best parameters: 
learning_rate ; 0.001
hidden_layer_sizes ; 32
activation ; <function sigmoid at 0x000002392EF90F78>
mode ; 0.04

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden_layer_sizes;activation
0;0.855346393585205;0.8202044129371643;0.8195794463157654;44.6;0.001;32;<function sigmoid at 0x000002392EF90F78>
1;0.8803840398788452;0.8148257851600647;0.8226287245750428;30.4;0.001;64;<function tanh at 0x000002392ED5AEE8>
2;0.8637801170349121;0.8240913271903991;0.8168290972709655;48.4;0.001;32;<function sigmoid at 0x000002392EF90F78>
3;0.8583584308624268;0.8172165274620056;0.8201175570487976;35.6;0.001;64;<function sigmoid at 0x000002392EF90F78>
4;0.885316264629364;0.8152731418609619;0.8219112634658814;35.4;0.001;64;<function tanh at 0x000002392ED5AEE8>
5;0.90158132314682;0.8205038070678711;0.8214329361915589;30.6;0.001;64;<function relu at 0x000002392EF6B438>
6;0.8578689932823181;0.8155737519264221;0.8256481170654297;41.0;0.001;64;<function sigmoid at 0x000002392EF90F78>
7;0.8939759135246277;0.8188594579696655;0.8251697778701782;26.4;0.001;64;<function relu at 0x000002392EF6B438>
8;0.8560994029045105;0.8193092346191406;0.8199979543685914;45.0;0.001;32;<function sigmoid at 0x000002392EF90F78>
9;0.8518072247505188;0.8155743837356567;0.8229575753211975;43.8;0.001;32;<function sigmoid at 0x000002392EF90F78>
MEAN;0.8704518103599549;0.8181431829929352;0.8216272449493409;38.12;;;
STD;0.017242115802158797;0.0028350665092860858;0.0025250259515490936;7.090951981222267;;;

