-- Parameters range: 
activation ; [<function tanh at 0x000001B634802A68>]
learning_rate ; [0.001, 0.01]
hops ; [1, 2, 3]

-- Best parameters: 
activation ; <function tanh at 0x000001B634802A68>
learning_rate ; 0.001
hops ; 3
mode ; 0.04

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;activation;learning_rate;hops
0;0.9605299711227417;0.9497862935066224;0.9533498048782348;33.4;<function tanh at 0x000001B634802A68>;0.001;2
1;0.9567935466766357;0.9487178444862365;0.9512125134468079;24.4;<function tanh at 0x000001B634802A68>;0.001;3
2;0.9773778080940246;0.9516536593437195;0.9497698664665222;12.6;<function tanh at 0x000001B634802A68>;0.01;2
3;0.9610734581947327;0.9492536783218384;0.9475256323814392;27.6;<function tanh at 0x000001B634802A68>;0.001;2
4;0.9756115078926086;0.951390552520752;0.9535101175308227;11.6;<function tanh at 0x000001B634802A68>;0.01;2
5;0.9762908458709717;0.9492515206336976;0.9500904202461242;13.6;<function tanh at 0x000001B634802A68>;0.01;3
6;0.9783968210220337;0.9511217474937439;0.9499835252761841;12.8;<function tanh at 0x000001B634802A68>;0.01;2
7;0.9625680208206177;0.9548629283905029;0.9476859331130981;28.4;<function tanh at 0x000001B634802A68>;0.001;3
8;0.9614131212234497;0.9519217491149903;0.9551664829254151;30.2;<function tanh at 0x000001B634802A68>;0.001;3
9;0.9574729084968567;0.947115707397461;0.9515864968299865;26.8;<function tanh at 0x000001B634802A68>;0.001;3
MEAN;0.9667528009414674;0.9505075681209565;0.9509880793094634;22.14;;;
STD;0.008486643794726238;0.002044931188296943;0.0023663817697677663;8.061290219313532;;;

