-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]

-- Best parameters: 
learning_rate ; 0.001
hidden ; 64
mode ; 0.05

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden
0;0.9322690963745117;0.9278852939605713;0.938178014755249;17.2;0.001;32
1;0.9381114959716796;0.932957673072815;0.9360941767692565;16.8;0.001;64
2;0.9436141967773437;0.9382992029190064;0.9310180068016052;20.0;0.001;32
3;0.9375000715255737;0.9342977643013001;0.9373231053352356;16.4;0.001;64
4;0.9399457216262818;0.9369690775871277;0.9349186182022095;21.2;0.001;32
5;0.9375000834465027;0.9302874565124511;0.9373231172561646;11.4;0.01;16
6;0.9437500834465027;0.9375016927719116;0.9337430953979492;21.4;0.001;64
7;0.9434104084968566;0.9364311337471009;0.9343308568000793;16.8;0.001;64
8;0.9384511709213257;0.932156252861023;0.9418648958206177;18.8;0.001;64
9;0.9428669095039368;0.9348279118537903;0.9368421912193299;10.6;0.01;64
MEAN;0.9397419238090515;0.9341613459587098;0.9361636078357698;17.060000000000002;;
STD;0.0035290781849799447;0.0031881509607666236;0.0027741985971275907;3.492907098678692;;

