-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [32, 64]
wavelet_s ; [0.00390625, 0.015625, 0.0625, 0.25]
sparse_ness ; [False]
sparse_mode ; [False]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 32
wavelet_s ; 0.0625
sparse_ness ; False
sparse_mode ; False
mode ; 0.05

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden;wavelet_s;sparse_ness;sparse_mode
0;0.9519702076911927;0.938834798336029;0.9395641922950745;28.6;0.001;32;0.0625;False;False
1;0.9708560585975647;0.934827697277069;0.942075538635254;12.8;0.01;32;0.0625;False;False
2;0.9803669452667236;0.9423071861267089;0.9357704997062684;16.4;0.01;32;0.0625;False;False
3;0.9508832216262817;0.9369660019874573;0.9394038915634155;24.0;0.001;32;0.0625;False;False
4;0.9533288836479187;0.9388383865356446;0.9391901731491089;25.0;0.001;32;0.0625;False;False
5;0.9675272464752197;0.9391018509864807;0.9346484184265137;21.4;0.001;64;0.015625;False;False
6;0.9556386590003967;0.9396376848220825;0.9400450944900512;23.6;0.001;64;0.0625;False;False
7;0.9747962832450867;0.9407043218612671;0.9373734712600708;14.0;0.01;32;0.0625;False;False
8;0.9740489959716797;0.9364326596260071;0.9420220971107482;15.6;0.01;32;0.0625;False;False
9;0.9706522583961487;0.9372305512428284;0.9394038915634155;15.4;0.01;32;0.0625;False;False
MEAN;0.9650068759918213;0.9384881138801575;0.938949726819992;19.68;;;;;
STD;0.01039004827250938;0.0020726743249003384;0.0022880389649824816;5.197845707598486;;;;;

