-- Parameters range: 
activation ; [<function tanh at 0x000001F87BAE0A68>]
learning_rate ; [0.001, 0.01]
hops ; [1, 2, 3]

-- Best parameters: 
activation ; <function tanh at 0x000001F87BAE0A68>
learning_rate ; 0.01
hops ; 2
mode ; 0.04

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;activation;learning_rate;hops
0;0.86875;0.7542240023612976;0.7689655303955079;15.8;<function tanh at 0x000001F87BAE0A68>;0.01;3
1;0.870703125;0.758674168586731;0.7603448271751404;15.6;<function tanh at 0x000001F87BAE0A68>;0.01;3
2;0.84296875;0.7543370842933654;0.7804597735404968;14.8;<function tanh at 0x000001F87BAE0A68>;0.01;2
3;0.84765625;0.7543165206909179;0.7594827771186828;17.0;<function tanh at 0x000001F87BAE0A68>;0.01;1
4;0.85390625;0.7701335787773133;0.7574712634086609;16.2;<function tanh at 0x000001F87BAE0A68>;0.01;2
5;0.784375;0.7629701614379882;0.7502873539924622;58.2;<function tanh at 0x000001F87BAE0A68>;0.001;1
6;0.858203125;0.7600308299064636;0.769252872467041;19.0;<function tanh at 0x000001F87BAE0A68>;0.01;1
7;0.874609375;0.7872661471366882;0.7477011442184448;17.6;<function tanh at 0x000001F87BAE0A68>;0.01;2
8;0.85625;0.7600000023841857;0.7652298927307128;14.8;<function tanh at 0x000001F87BAE0A68>;0.01;2
9;0.871484375;0.7715005040168762;0.7798850536346436;16.0;<function tanh at 0x000001F87BAE0A68>;0.01;3
MEAN;0.852890625;0.7633452999591828;0.7639080488681793;20.5;;;
STD;0.024994017838962476;0.00987317989026544;0.010521481236025828;12.625450487012335;;;

