-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]

-- Best parameters: 
learning_rate ; 0.001
hidden ; 64
mode ; 0.04

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden
0;0.830078125;0.762846827507019;0.7738505721092224;11.4;0.01;32
1;0.82734375;0.7658478140830993;0.7747126460075379;12.4;0.01;16
2;0.841015625;0.7672661185264588;0.7821838974952697;14.4;0.01;32
3;0.77265625;0.7500205159187316;0.7804597616195679;21.2;0.001;64
4;0.79375;0.7686638712882996;0.765517246723175;23.4;0.001;64
5;0.83046875;0.7759198188781739;0.7695402264595032;11.8;0.01;16
6;0.838671875;0.7787358403205872;0.7649425387382507;12.0;0.01;32
7;0.7890625;0.7728570938110352;0.7718390822410583;25.6;0.001;64
8;0.79375;0.7686125040054321;0.7646551728248596;23.2;0.001;64
9;0.825390625;0.768612539768219;0.7778735637664795;11.4;0.01;16
MEAN;0.81421875;0.7679382944107055;0.7725574707984924;16.68;;
STD;0.023080087298090968;0.007468023131758351;0.0060770891954333725;5.591565076076643;;

