-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]
wavelet_s ; [0.00390625, 0.015625, 0.0625, 0.25, 0.5, 1]
sparse_ness ; [False]
sparse_mode ; [False]

-- Best parameters: 
learning_rate ; 0.001
hidden ; 32
wavelet_s ; 0.25
sparse_ness ; False
sparse_mode ; False
mode ; 0.03

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden;wavelet_s;sparse_ness;sparse_mode
0;0.8734375;0.7714799284934998;0.7850574731826783;12.0;0.01;32;0.25;False;False
1;0.819140625;0.7744604229927063;0.7761494278907776;33.6;0.001;32;0.25;False;False
2;0.872265625;0.7730421185493469;0.7873563051223755;14.0;0.01;16;0.25;False;False
3;0.790234375;0.7686330795288085;0.7936781525611878;30.2;0.001;32;0.25;False;False
4;0.8015625;0.7729907274246216;0.7686781525611878;27.6;0.001;32;0.25;False;False
5;0.821875;0.7902774691581727;0.7758620619773865;28.4;0.001;64;0.25;False;False
6;0.802734375;0.7815827131271362;0.7721264481544494;27.8;0.001;32;0.5;False;False
7;0.801171875;0.7815210342407226;0.7732758522033691;35.2;0.001;16;0.25;False;False
8;0.81171875;0.7758272886276245;0.7758620738983154;23.4;0.001;64;0.25;False;False
9;0.808984375;0.7844089984893798;0.7704023003578186;23.0;0.001;64;0.5;False;False
MEAN;0.8203125;0.7774223780632019;0.7778448247909545;25.520000000000003;;;;;
STD;0.027674892198581824;0.006410005982045778;0.007726035431528763;7.246074799503522;;;;;

