-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden_layer_sizes ; [16, 32, 64]
activation ; [<function relu at 0x000002658D0EB438>, <function tanh at 0x000002658CEDAEE8>, <function sigmoid at 0x000002658D110F78>]

-- Best parameters: 
learning_rate ; 0.001
hidden_layer_sizes ; 64
activation ; <function tanh at 0x000002658CEDAEE8>
mode ; 0.03

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden_layer_sizes;activation
0;0.775390625;0.7139773726463318;0.7247126340866089;38.4;0.001;64;<function tanh at 0x000002658CEDAEE8>
1;0.78984375;0.7386228203773498;0.7045977115631104;47.0;0.001;32;<function tanh at 0x000002658CEDAEE8>
2;0.826953125;0.724182915687561;0.7272988557815552;44.0;0.001;64;<function relu at 0x000002658D0EB438>
3;0.746875;0.7054470539093017;0.7152298927307129;45.4;0.001;16;<function tanh at 0x000002658CEDAEE8>
4;0.776953125;0.7255498170852661;0.7143678188323974;29.6;0.001;64;<function tanh at 0x000002658CEDAEE8>
5;0.796484375;0.7399588584899902;0.7014367818832398;38.6;0.001;64;<function tanh at 0x000002658CEDAEE8>
6;0.765625;0.7168756008148194;0.7252873659133912;44.4;0.001;16;<function tanh at 0x000002658CEDAEE8>
7;0.8078125;0.7283761143684387;0.7143678188323974;41.0;0.001;64;<function relu at 0x000002658D0EB438>
8;0.8078125;0.7226413011550903;0.7238505721092224;54.6;0.001;32;<function relu at 0x000002658D0EB438>
9;0.79296875;0.7255600929260254;0.7313218355178833;51.6;0.001;32;<function relu at 0x000002658D0EB438>
MEAN;0.7886718749999999;0.7241191947460176;0.718247128725052;43.46000000000001;;;
STD;0.02207013965640284;0.009948153689418121;0.009400766728127572;6.746880760766414;;;

