-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.08

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.7867826143282809;0.8257648953301127;0.0;rbf
1;1.0;0.7900051820183961;0.818035426731079;0.0;rbf
2;1.0;0.7957151185386708;0.8120772946859903;0.0;rbf
3;1.0;0.7900408083948698;0.8136876006441224;0.0;rbf
4;1.0;0.7828280865397073;0.8109500805152979;0.0;sigmoid
5;1.0;0.7924083430496178;0.8223832528180355;0.0;rbf
6;1.0;0.7811568856069439;0.8194847020933977;0.0;rbf
7;1.0;0.785172949863972;0.8235104669887278;0.0;rbf
8;1.0;0.8165597875372457;0.8025764895330113;0.0;rbf
9;1.0;0.7731344733773805;0.8262479871175523;0.0;sigmoid
MEAN;1.0;0.7893804249255085;0.8174718196457327;0.0;
STD;0.0;0.010898545574128825;0.007201237112329574;0.0;

