-- Parameters range: 
activation ; [<function tanh at 0x000001F87BAE0A68>]
learning_rate ; [0.001, 0.01]
hops ; [1, 2, 3]

-- Best parameters: 
activation ; <function tanh at 0x000001F87BAE0A68>
learning_rate ; 0.01
hops ; 3
mode ; 0.08

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;activation;learning_rate;hops
0;0.9537499904632568;0.8608111143112183;0.8708534359931945;17.4;<function tanh at 0x000001F87BAE0A68>;0.01;3
1;0.9529166698455811;0.8608110427856446;0.8714975833892822;18.0;<function tanh at 0x000001F87BAE0A68>;0.01;3
2;0.9474999904632568;0.8696593642234802;0.8663446307182312;16.4;<function tanh at 0x000001F87BAE0A68>;0.01;2
3;0.9587500095367432;0.8672659039497376;0.8595813512802124;18.4;<function tanh at 0x000001F87BAE0A68>;0.01;3
4;0.9452083349227905;0.8592402458190918;0.865217411518097;15.2;<function tanh at 0x000001F87BAE0A68>;0.01;3
5;0.9556249976158142;0.876101267337799;0.8536231756210327;18.8;<function tanh at 0x000001F87BAE0A68>;0.01;2
6;0.9427083253860473;0.8616207599639892;0.8727858185768127;14.4;<function tanh at 0x000001F87BAE0A68>;0.01;3
7;0.9472916603088379;0.8607884049415588;0.8679549217224121;15.4;<function tanh at 0x000001F87BAE0A68>;0.01;3
8;0.9524999856948853;0.876101279258728;0.8573268532752991;14.4;<function tanh at 0x000001F87BAE0A68>;0.01;3
9;0.9554166674613953;0.8608628749847412;0.8682769417762757;17.6;<function tanh at 0x000001F87BAE0A68>;0.01;3
MEAN;0.951166663169861;0.8653262257575989;0.8653462123870849;16.6;;;
STD;0.004924079267548038;0.006219306991488988;0.006122890824217228;1.574801574802362;;;

