-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 16
mode ; 0.06

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden
0;0.9108333230018616;0.8471337795257569;0.866183590888977;11.4;0.01;32
1;0.9172916650772095;0.8640174388885498;0.8668276548385621;13.4;0.01;16
2;0.9266666531562805;0.8664530158042908;0.8560386657714844;9.6;0.01;64
3;0.9179166674613952;0.8575982213020324;0.852979052066803;11.4;0.01;32
4;0.9195833444595337;0.8600402355194092;0.8599033355712891;15.8;0.01;16
5;0.9231250047683716;0.8777239203453064;0.8462157487869263;13.4;0.01;16
6;0.9172916769981384;0.8551788687705993;0.8639291405677796;12.4;0.01;32
7;0.9104166626930237;0.8567755579948425;0.8692431569099426;14.6;0.01;16
8;0.918958330154419;0.8688723325729371;0.8552335023880004;13.6;0.01;16
9;0.9104166626930237;0.8520113348960876;0.8697262167930603;13.2;0.01;16
MEAN;0.9172499990463256;0.8605804705619813;0.8606280064582824;12.879999999999999;;
STD;0.005162969936311694;0.008461892796372562;0.007443812449826398;1.6737980762326141;;

