-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]
wavelet_s ; [0.00390625, 0.015625, 0.0625, 0.25, 0.5, 1]
sparse_ness ; [False]
sparse_mode ; [False]

-- Best parameters: 
learning_rate ; 0.001
hidden ; 64
wavelet_s ; 0.5
sparse_ness ; False
sparse_mode ; False
mode ; 0.04

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden;wavelet_s;sparse_ness;sparse_mode
0;0.8933333396911621;0.8583949446678162;0.8763292551040649;24.8;0.001;32;0.5;False;False
1;0.9120833277702332;0.872875428199768;0.8768124341964721;23.6;0.001;64;0.5;False;False
2;0.9168749928474427;0.8809238076210022;0.8710151076316833;24.6;0.001;64;0.5;False;False
3;0.89375;0.8720884084701538;0.8666674137115479;29.0;0.001;16;1.0;False;False
4;0.9512499928474426;0.8721110701560975;0.8697270274162292;12.8;0.01;16;0.5;False;False
5;0.9100000023841858;0.8809269785881042;0.8544292449951172;32.2;0.001;16;0.5;False;False
6;0.9081249833106995;0.8712690234184265;0.8801940083503723;22.6;0.001;64;0.5;False;False
7;0.8879166722297669;0.8672400116920471;0.8784226775169373;31.2;0.001;16;1.0;False;False
8;0.9149999976158142;0.8793400168418884;0.8735917329788208;24.0;0.001;64;0.5;False;False
9;0.9579166769981384;0.8689014792442322;0.8740748763084412;15.6;0.01;16;0.5;False;False
MEAN;0.9146249985694885;0.8724071168899536;0.8721263778209686;24.04;;;;;
STD;0.022120801529402014;0.006559118834706095;0.007073032371819045;5.858190847010705;;;;;

