-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden_layer_sizes ; [16, 32, 64]
activation ; [<function relu at 0x000002658D0EB438>, <function tanh at 0x000002658CEDAEE8>, <function sigmoid at 0x000002658D110F78>]

-- Best parameters: 
learning_rate ; 0.001
hidden_layer_sizes ; 32
activation ; <function sigmoid at 0x000002658D110F78>
mode ; 0.03

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden_layer_sizes;activation
0;0.8214583396911621;0.7151444435119629;0.7388092875480652;29.8;0.01;16;<function sigmoid at 0x000002658D110F78>
1;0.7885416626930237;0.7361348867416382;0.7293084859848022;77.6;0.001;32;<function sigmoid at 0x000002658D110F78>
2;0.7722916841506958;0.7297188878059387;0.7125612378120423;91.8;0.001;16;<function sigmoid at 0x000002658D110F78>
3;0.7945833325386047;0.7345316886901856;0.7194855332374572;68.8;0.001;64;<function sigmoid at 0x000002658D110F78>
4;0.7964583516120911;0.7409639000892639;0.7305967092514039;65.8;0.001;64;<function sigmoid at 0x000002658D110F78>
5;0.7854166626930237;0.7473507165908814;0.7243165016174317;79.2;0.001;32;<function sigmoid at 0x000002658D110F78>
6;0.7764583468437195;0.7296541213989258;0.7285032987594604;93.0;0.001;16;<function sigmoid at 0x000002658D110F78>
7;0.8191666722297668;0.7304508686065674;0.7328511714935303;27.4;0.01;16;<function sigmoid at 0x000002658D110F78>
8;0.8320833325386048;0.7498024582862854;0.7173921823501587;27.0;0.01;16;<function sigmoid at 0x000002658D110F78>
9;0.7820833325386047;0.7272768974304199;0.7326900959014893;78.4;0.001;32;<function sigmoid at 0x000002658D110F78>
MEAN;0.7968541717529297;0.7341028869152069;0.7266514503955841;63.879999999999995;;;
STD;0.019460260773804392;0.009652630924461357;0.0076801010624165215;24.782122588672667;;;

