-- Parameters range: 
activation ; [<function tanh at 0x000001F87BAE0A68>]
learning_rate ; [0.001, 0.01]
hops ; [1, 2, 3]

-- Best parameters: 
activation ; <function tanh at 0x000001F87BAE0A68>
learning_rate ; 0.01
hops ; 2
mode ; 0.05

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;activation;learning_rate;hops
0;0.8125;0.6438596069812774;0.7692307353019714;21.6;<function tanh at 0x000001F87BAE0A68>;0.01;3
1;0.85625;0.7578946590423584;0.7230769157409668;28.6;<function tanh at 0x000001F87BAE0A68>;0.01;2
2;0.79375;0.6959063827991485;0.6769230782985687;52.0;<function tanh at 0x000001F87BAE0A68>;0.01;1
3;0.8875;0.7830408692359925;0.7978021502494812;30.0;<function tanh at 0x000001F87BAE0A68>;0.01;2
4;0.9;0.7923976182937622;0.7758242130279541;31.6;<function tanh at 0x000001F87BAE0A68>;0.01;2
5;0.815625;0.6883040368556976;0.7472527265548706;22.6;<function tanh at 0x000001F87BAE0A68>;0.01;2
6;0.8625;0.7497075438499451;0.8285714149475097;31.6;<function tanh at 0x000001F87BAE0A68>;0.01;1
7;0.828125;0.726315724849701;0.7230769038200379;22.0;<function tanh at 0x000001F87BAE0A68>;0.01;3
8;0.90625;0.7415204167366027;0.7802197456359863;27.4;<function tanh at 0x000001F87BAE0A68>;0.01;3
9;0.9;0.7385964512825012;0.7296703219413757;27.4;<function tanh at 0x000001F87BAE0A68>;0.01;2
MEAN;0.85625;0.7317543309926988;0.7551648205518722;29.479999999999997;;;
STD;0.03950375773265121;0.042876342356853316;0.04165631844955806;8.313940100818625;;;

