-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 32
mode ; 0.04

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden
0;0.8;0.5982455611228943;0.6439560055732727;12.8;0.01;64
1;0.778125;0.6175438165664673;0.6703296422958374;17.2;0.01;16
2;0.728125;0.6058479249477386;0.6351648092269897;17.2;0.01;16
3;0.803125;0.5871344625949859;0.6681318402290344;11.2;0.01;64
4;0.796875;0.6421052098274231;0.6483516454696655;11.2;0.01;64
5;0.796875;0.633333271741867;0.6417582035064697;13.2;0.01;32
6;0.7625;0.5865496456623077;0.6725274562835694;11.8;0.01;32
7;0.759375;0.6087718665599823;0.6593406438827515;12.6;0.01;32
8;0.803125;0.6426900267601013;0.6571428298950195;13.2;0.01;32
9;0.76875;0.6192981898784637;0.6835164546966552;14.2;0.01;64
MEAN;0.7796874999999999;0.6141519975662232;0.6580219531059266;13.459999999999999;;
STD;0.023644915547533674;0.01960730826760573;0.014815209666846069;2.068912757948;;

