-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]
wavelet_s ; [0.00390625, 0.015625, 0.0625, 0.25, 0.5, 1]
sparse_ness ; [False]
sparse_mode ; [False]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 32
wavelet_s ; 0.00390625
sparse_ness ; False
sparse_mode ; False
mode ; 0.03

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden;wavelet_s;sparse_ness;sparse_mode
0;0.99375;0.8251461386680603;0.8153845191001892;59.0;0.01;32;0.00390625;False;False
1;0.971875;0.8356724500656127;0.846153724193573;18.0;0.01;64;0.00390625;False;False
2;0.984375;0.8257309198379517;0.8197801113128662;21.0;0.01;64;0.00390625;False;False
3;0.9625;0.8040935277938843;0.8483515501022338;16.2;0.01;64;0.00390625;False;False
4;0.95625;0.8573098659515381;0.7956043481826782;17.0;0.01;32;0.015625;False;False
5;0.959375;0.8269005656242371;0.819780147075653;19.2;0.01;32;0.00390625;False;False
6;0.96875;0.7719297647476197;0.8593406200408935;16.8;0.01;32;0.00390625;False;False
7;0.9625;0.7602338671684266;0.8571427345275879;14.2;0.01;64;0.015625;False;False
8;0.8875;0.816959023475647;0.8175823569297791;22.0;0.01;16;0.00390625;False;False
9;0.925;0.7818712949752807;0.7978021383285523;22.2;0.01;16;0.015625;False;False
MEAN;0.9571875000000001;0.8105847418308259;0.8276922249794006;22.56;;;;;
STD;0.028948027242801894;0.029080791959231977;0.022222800865588338;12.39864508726659;;;;;

