-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden_layer_sizes ; [16, 32, 64]
activation ; [<function relu at 0x000002658D0EB438>, <function tanh at 0x000002658CEDAEE8>, <function sigmoid at 0x000002658D110F78>]

-- Best parameters: 
learning_rate ; 0.01
hidden_layer_sizes ; 16
activation ; <function sigmoid at 0x000002658D110F78>
mode ; 0.02

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden_layer_sizes;activation
0;1.0;0.8163742303848267;0.8351647138595581;26.6;0.01;32;<function tanh at 0x000002658CEDAEE8>
1;0.996875;0.8684209704399108;0.8417581081390381;29.8;0.01;64;<function relu at 0x000002658D0EB438>
2;0.94375;0.8263157486915589;0.8219779133796692;45.4;0.01;16;<function sigmoid at 0x000002658D110F78>
3;0.9375;0.8046783328056335;0.8263735294342041;46.6;0.01;16;<function sigmoid at 0x000002658D110F78>
4;0.984375;0.8684209823608399;0.8219779253005981;43.4;0.01;32;<function tanh at 0x000002658CEDAEE8>
5;0.990625;0.8602338910102845;0.8241757273674011;34.8;0.01;64;<function relu at 0x000002658D0EB438>
6;0.971875;0.7935671925544738;0.8549449801445007;33.8;0.01;64;<function sigmoid at 0x000002658D110F78>
7;0.996875;0.8251461386680603;0.8703295111656189;30.4;0.01;64;<function tanh at 0x000002658CEDAEE8>
8;0.98125;0.8175438046455383;0.8659339070320129;34.2;0.01;64;<function tanh at 0x000002658CEDAEE8>
9;0.990625;0.8251461386680603;0.8263735771179199;31.8;0.01;32;<function relu at 0x000002658D0EB438>
MEAN;0.9793749999999999;0.8305847430229187;0.8389009892940521;35.67999999999999;;;
STD;0.020972452169453138;0.024966097236557006;0.017611219127575337;6.6315609022310875;;;

