-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 64
mode ; 0.05

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden
0;0.83125;0.8106959819793701;0.8532567024230957;14.4;0.01;32
1;0.8338541746139526;0.8184981942176819;0.8348659157752991;11.0;0.01;32
2;0.8463541626930237;0.8220879077911377;0.8429118394851685;15.0;0.01;32
3;0.864062488079071;0.8355860948562622;0.8252873420715332;13.2;0.01;64
4;0.8505208253860473;0.833699643611908;0.824904203414917;12.2;0.01;64
5;0.8463541626930237;0.8259340524673462;0.8371647596359253;9.6;0.01;64
6;0.8494791626930237;0.823974359035492;0.8425287723541259;13.2;0.01;64
7;0.8453125;0.8375274777412415;0.8452107191085816;14.0;0.01;32
8;0.8348958373069764;0.8183516502380371;0.8425287365913391;13.0;0.01;16
9;0.8359375;0.8106959581375122;0.8597701191902161;11.8;0.01;64
MEAN;0.8438020813465119;0.823705132007599;0.84084291100502;12.739999999999998;;
STD;0.009491316426589513;0.00913241109028322;0.010424275370959817;1.549322432549145;;

