-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden_layer_sizes ; [16, 32, 64]
activation ; [<function relu at 0x000002658D0EB438>, <function tanh at 0x000002658CEDAEE8>, <function sigmoid at 0x000002658D110F78>]

-- Best parameters: 
learning_rate ; 0.001
hidden_layer_sizes ; 16
activation ; <function tanh at 0x000002658CEDAEE8>
mode ; 0.02

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden_layer_sizes;activation
0;0.8515624880790711;0.8088461279869079;0.8091951608657837;26.2;0.01;16;<function sigmoid at 0x000002658D110F78>
1;0.8375000119209289;0.8164468765258789;0.7919538021087646;39.6;0.001;16;<function tanh at 0x000002658CEDAEE8>
2;0.8416666746139526;0.7896886467933655;0.7804595232009888;48.6;0.001;64;<function sigmoid at 0x000002658D110F78>
3;0.8473958373069763;0.8068498015403748;0.7804595232009888;43.4;0.001;16;<function tanh at 0x000002658CEDAEE8>
4;0.8760416746139527;0.8242124319076538;0.8045974969863892;50.4;0.001;64;<function relu at 0x000002658D0EB438>
5;0.83125;0.7878571271896362;0.8103445410728455;27.2;0.001;64;<function tanh at 0x000002658CEDAEE8>
6;0.8671875;0.8086629748344422;0.7954020500183105;51.2;0.001;32;<function relu at 0x000002658D0EB438>
7;0.8776041626930237;0.8146153807640075;0.7900380969047547;35.4;0.001;64;<function relu at 0x000002658D0EB438>
8;0.8651041746139526;0.7991208672523499;0.7915706753730773;24.0;0.01;64;<function sigmoid at 0x000002658D110F78>
9;0.8322916746139526;0.7878205060958863;0.8088120341300964;34.4;0.001;32;<function tanh at 0x000002658CEDAEE8>
MEAN;0.852760419845581;0.8044120740890504;0.7962832903862;38.04;;;
STD;0.016696017545318;0.01216056819897386;0.010826107668140312;9.714236974667646;;;

