-- Parameters range: 
activation ; [<function tanh at 0x000001F87BAE0A68>]
learning_rate ; [0.001, 0.01]
hops ; [1, 2, 3]

-- Best parameters: 
activation ; <function tanh at 0x000001F87BAE0A68>
learning_rate ; 0.01
hops ; 3
mode ; 0.06999999999999999

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;activation;learning_rate;hops
0;0.98828125;0.9823734045028687;0.9883838772773743;36.8;<function tanh at 0x000001F87BAE0A68>;0.01;3
1;0.996875;0.9949683547019958;0.978787899017334;18.4;<function tanh at 0x000001F87BAE0A68>;0.01;3
2;0.99296875;0.9924367070198059;0.9823232293128967;18.8;<function tanh at 0x000001F87BAE0A68>;0.01;3
3;0.99296875;0.9899051070213318;0.9823232293128967;16.0;<function tanh at 0x000001F87BAE0A68>;0.01;3
4;0.98671875;0.9798101186752319;0.9898990392684937;22.4;<function tanh at 0x000001F87BAE0A68>;0.01;3
5;0.9796875;0.9798101544380188;0.9929293751716614;16.6;<function tanh at 0x000001F87BAE0A68>;0.01;3
6;0.9875;0.9874366998672486;0.9878788709640502;17.2;<function tanh at 0x000001F87BAE0A68>;0.01;3
7;0.99453125;0.9949367046356201;0.9792929053306579;18.0;<function tanh at 0x000001F87BAE0A68>;0.01;2
8;0.99140625;0.9849050641059875;0.9797980546951294;41.8;<function tanh at 0x000001F87BAE0A68>;0.01;2
9;0.99375;0.9899367213249206;0.9747475385665894;57.0;<function tanh at 0x000001F87BAE0A68>;0.01;1
MEAN;0.99046875;0.9876519036293029;0.9836364018917083;26.3;;;
STD;0.004749588797990811;0.005461053539504013;0.005528875410231275;13.33694117854615;;;

