-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden_layer_sizes ; [16, 32, 64]
activation ; [<function relu at 0x000002658D0EB438>, <function tanh at 0x000002658CEDAEE8>, <function sigmoid at 0x000002658D110F78>]

-- Best parameters: 
learning_rate ; 0.01
hidden_layer_sizes ; 16
activation ; <function sigmoid at 0x000002658D110F78>
mode ; 0.03

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden_layer_sizes;activation
0;0.94453125;0.9245569229125976;0.9186869144439698;37.4;0.01;16;<function sigmoid at 0x000002658D110F78>
1;0.95;0.9269936084747314;0.9176767587661743;65.8;0.01;16;<function tanh at 0x000002658CEDAEE8>
2;0.94296875;0.9270252346992492;0.9161616563796997;78.8;0.001;16;<function relu at 0x000002658D0EB438>
3;0.93125;0.9168986558914185;0.9252525568008423;87.2;0.001;16;<function tanh at 0x000002658CEDAEE8>
4;0.946875;0.9244619607925415;0.91818186044693;37.6;0.01;16;<function sigmoid at 0x000002658D110F78>
5;0.946875;0.9269619464874268;0.9161616683006286;48.6;0.001;32;<function tanh at 0x000002658CEDAEE8>
6;0.93984375;0.9193037390708924;0.93333340883255;85.6;0.001;32;<function relu at 0x000002658D0EB438>
7;0.934375;0.9244935750961304;0.9196969628334045;43.0;0.001;64;<function tanh at 0x000002658CEDAEE8>
8;0.9328125;0.9194302916526794;0.9186868667602539;37.2;0.001;64;<function relu at 0x000002658D0EB438>
9;0.94921875;0.9370568990707397;0.908080804347992;98.6;0.01;16;<function sigmoid at 0x000002658D110F78>
MEAN;0.9418749999999999;0.9247182834148406;0.9191919457912446;61.980000000000004;;;
STD;0.0065847835955329575;0.005351107762933758;0.006185595770368231;22.76918092510137;;;

