-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]
wavelet_s ; [0.00390625, 0.015625, 0.0625, 0.25, 0.5, 1]
sparse_ness ; [False]
sparse_mode ; [False]

-- Best parameters: 
learning_rate ; 0.001
hidden ; 64
wavelet_s ; 0.0625
sparse_ness ; False
sparse_mode ; False
mode ; 0.03

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden;wavelet_s;sparse_ness;sparse_mode
0;0.9640625;0.9629474639892578;0.9703703641891479;13.2;0.01;64;0.0625;False;False
1;0.9671875;0.968280804157257;0.9671957731246948;19.6;0.001;32;0.015625;False;False
2;0.9671875;0.9656492233276367;0.961904764175415;22.0;0.001;64;0.0625;False;False
3;0.9671875;0.9629825472831726;0.9714285612106324;84.8;0.001;16;0.015625;False;False
4;0.96875;0.9710176467895508;0.9624338746070862;22.0;0.001;64;0.0625;False;False
5;0.98046875;0.9682456970214843;0.961904764175415;32.0;0.01;16;0.015625;False;False
6;0.9703125;0.9655439734458924;0.965079379081726;19.6;0.001;64;0.0625;False;False
7;0.9703125;0.9576141357421875;0.9835978865623474;20.0;0.01;32;0.015625;False;False
8;0.9609375;0.9577194094657898;0.9730158567428588;23.4;0.001;16;0.015625;False;False
9;0.96953125;0.9577545166015625;0.9746031522750854;14.2;0.01;64;0.015625;False;False
MEAN;0.9685937499999998;0.9637755417823792;0.9691534376144408;27.079999999999995;;;;;
STD;0.0048260766285876545;0.004599703852511101;0.0065619077860356425;19.853301992363885;;;;;

