-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden_layer_sizes ; [16, 32, 64]
activation ; [<function relu at 0x000002658D0EB438>, <function tanh at 0x000002658CEDAEE8>, <function sigmoid at 0x000002658D110F78>]

-- Best parameters: 
learning_rate ; 0.001
hidden_layer_sizes ; 16
activation ; <function tanh at 0x000002658CEDAEE8>
mode ; 0.02

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden_layer_sizes;activation
0;0.94609375;0.9152281403541564;0.9169312119483948;41.0;0.001;64;<function relu at 0x000002658D0EB438>
1;0.93984375;0.9127018332481385;0.9211640119552612;53.6;0.001;32;<function relu at 0x000002658D0EB438>
2;0.98359375;0.9155089020729065;0.9153439164161682;28.6;0.01;64;<function relu at 0x000002658D0EB438>
3;0.9515625;0.910070252418518;0.9370370268821716;57.6;0.001;64;<function relu at 0x000002658D0EB438>
4;0.98359375;0.9339299201965332;0.9164021134376525;31.0;0.01;64;<function relu at 0x000002658D0EB438>
5;0.98984375;0.9284562110900879;0.9195767283439636;62.8;0.01;32;<function relu at 0x000002658D0EB438>
6;0.94375;0.9206316471099854;0.9074074029922485;63.4;0.001;16;<function tanh at 0x000002658CEDAEE8>
7;0.9796875;0.9126667618751526;0.9275132298469544;28.6;0.01;32;<function relu at 0x000002658D0EB438>
8;0.93515625;0.9127720475196839;0.9306878328323365;54.0;0.001;16;<function tanh at 0x000002658CEDAEE8>
9;0.93359375;0.9260351777076721;0.9248677134513855;47.8;0.001;16;<function relu at 0x000002658D0EB438>
MEAN;0.958671875;0.9188000893592834;0.9216931188106537;46.84;;;
STD;0.021501981422141683;0.007673317950882248;0.008124750727444683;13.011625571003801;;;

