-- Parameters range: 
activation ; [<function tanh at 0x000001F87BAE0A68>]
learning_rate ; [0.001, 0.01]
hops ; [1, 2, 3]

-- Best parameters: 
activation ; <function tanh at 0x000001F87BAE0A68>
learning_rate ; 0.01
hops ; 3
mode ; 0.05

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;activation;learning_rate;hops
0;0.91875;0.8257309079170227;0.8549450039863586;34.8;<function tanh at 0x000001F87BAE0A68>;0.01;2
1;0.853125;0.7912280201911926;0.81318678855896;34.2;<function tanh at 0x000001F87BAE0A68>;0.01;1
2;0.915625;0.8362572431564331;0.8549450159072876;44.6;<function tanh at 0x000001F87BAE0A68>;0.01;3
3;0.896875;0.7947367787361145;0.8263736367225647;31.2;<function tanh at 0x000001F87BAE0A68>;0.01;2
4;0.95;0.8690057992935181;0.8747251749038696;36.8;<function tanh at 0x000001F87BAE0A68>;0.01;3
5;0.9;0.7812864661216736;0.8901098847389222;30.6;<function tanh at 0x000001F87BAE0A68>;0.01;3
6;0.953125;0.8461987853050232;0.8615384578704834;73.2;<function tanh at 0x000001F87BAE0A68>;0.01;1
7;0.8875;0.8058478832244873;0.8197801828384399;31.4;<function tanh at 0x000001F87BAE0A68>;0.01;3
8;0.890625;0.7807016968727112;0.813186764717102;31.2;<function tanh at 0x000001F87BAE0A68>;0.01;3
9;0.8875;0.7818712830543518;0.8263736248016358;29.6;<function tanh at 0x000001F87BAE0A68>;0.01;2
MEAN;0.9053125;0.8112864863872529;0.8435164535045624;37.760000000000005;;;
STD;0.028710910926858443;0.029646358548039122;0.02592660883647333;12.527984674320129;;;

