-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 64
mode ; 0.05

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden
0;0.7875;0.6742689609527588;0.6395604252815247;13.6;0.01;64
1;0.725;0.6520467400550842;0.6351647973060608;14.6;0.01;32
2;0.6625;0.6192982196807861;0.6439560174942016;12.8;0.01;16
3;0.725;0.6198830127716064;0.6307692289352417;11.0;0.01;64
4;0.7625;0.6298245310783386;0.6329670310020447;10.0;0.01;64
5;0.759375;0.6175437927246094;0.6571428537368774;16.0;0.01;32
6;0.759375;0.6081870973110199;0.6153846025466919;9.8;0.01;64
7;0.70625;0.630409324169159;0.6813186764717102;16.0;0.01;16
8;0.734375;0.6309940934181213;0.6131867885589599;11.4;0.01;32
9;0.803125;0.632163667678833;0.6769230604171753;16.2;0.01;64
MEAN;0.7424999999999999;0.6314619439840318;0.6426373481750489;13.14;;
STD;0.03881043674065005;0.018105624043157915;0.021894348970922455;2.3833589742210464;;

