-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]
wavelet_s ; [0.00390625, 0.015625, 0.0625, 0.25, 0.5, 1]
sparse_ness ; [False]
sparse_mode ; [False]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 64
wavelet_s ; 0.015625
sparse_ness ; False
sparse_mode ; False
mode ; 0.06

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden;wavelet_s;sparse_ness;sparse_mode
0;0.98125;0.8807016849517822;0.8747252106666565;20.0;0.01;64;0.015625;False;False
1;0.96875;0.8801169037818909;0.8945054054260254;20.6;0.01;32;0.015625;False;False
2;0.96875;0.891812801361084;0.8901097893714904;20.4;0.01;64;0.015625;False;False
3;0.990625;0.903508722782135;0.8659339427947998;56.6;0.01;64;0.015625;False;False
4;0.965625;0.859064269065857;0.8879120111465454;24.2;0.01;16;0.00390625;False;False
5;0.965625;0.8257309436798096;0.9340658545494079;17.6;0.01;64;0.015625;False;False
6;0.975;0.8906432151794433;0.8637362003326416;18.0;0.01;64;0.015625;False;False
7;0.978125;0.9239765644073487;0.8945054173469543;18.4;0.01;64;0.00390625;False;False
8;0.978125;0.8789473176002502;0.8945054292678833;19.8;0.01;64;0.015625;False;False
9;0.9875;0.9023391127586364;0.8879119873046875;21.8;0.01;64;0.00390625;False;False
MEAN;0.9759375;0.8836841535568236;0.8887911248207091;23.740000000000002;;;;;
STD;0.008391075988810982;0.025471109371099594;0.018705868387521255;11.106052403982256;;;;;

