-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden_layer_sizes ; [16, 32, 64]
activation ; [<function relu at 0x000002658D0EB438>, <function tanh at 0x000002658CEDAEE8>, <function sigmoid at 0x000002658D110F78>]

-- Best parameters: 
learning_rate ; 0.01
hidden_layer_sizes ; 16
activation ; <function relu at 0x000002658D0EB438>
mode ; 0.03

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden_layer_sizes;activation
0;1.0;0.9023391246795655;0.8571427941322327;71.2;0.01;16;<function relu at 0x000002658D0EB438>
1;0.9875;0.9134502172470093;0.8593405961990357;67.0;0.01;16;<function tanh at 0x000002658CEDAEE8>
2;0.965625;0.8818713068962097;0.8791207551956177;32.0;0.01;32;<function relu at 0x000002658D0EB438>
3;0.98125;0.8923975944519043;0.8769229531288147;72.0;0.01;64;<function sigmoid at 0x000002658D110F78>
4;0.978125;0.8912280082702637;0.8813186168670655;71.8;0.01;16;<function relu at 0x000002658D0EB438>
5;0.95625;0.8473683714866638;0.929670262336731;36.8;0.01;64;<function sigmoid at 0x000002658D110F78>
6;0.984375;0.890058434009552;0.8901097774505615;41.0;0.01;64;<function sigmoid at 0x000002658D110F78>
7;0.95625;0.9023391366004944;0.8835164189338685;33.8;0.01;16;<function tanh at 0x000002658CEDAEE8>
8;0.978125;0.8678361892700195;0.8791207909584046;77.0;0.01;16;<function tanh at 0x000002658CEDAEE8>
9;0.9625;0.8912280082702637;0.8967031836509705;41.6;0.01;16;<function relu at 0x000002658D0EB438>
MEAN;0.975;0.8880116391181947;0.8832966148853302;54.419999999999995;;;
STD;0.013693063937629145;0.017884124184691198;0.019271853266412908;17.730076141968482;;;

