-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 16
mode ; 0.05

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden
0;0.709375;0.6571428418159485;0.6504672765731812;11.8;0.01;16
1;0.759375;0.6948052048683167;0.6299065113067627;11.4;0.01;32
2;0.721875;0.6575757622718811;0.6915887117385864;12.6;0.01;64
3;0.678125;0.6398268580436707;0.6672897100448608;11.8;0.01;16
4;0.684375;0.6493506491184234;0.667289650440216;13.6;0.01;16
5;0.66875;0.6584415912628174;0.6504672408103943;11.2;0.01;16
6;0.69375;0.6216450214385987;0.6616822242736816;13.6;0.01;16
7;0.69375;0.6385281443595886;0.6205607175827026;12.0;0.01;32
8;0.75625;0.6852813839912415;0.6523364186286926;13.2;0.01;64
9;0.70625;0.6857143044471741;0.6299064874649047;12.8;0.01;32
MEAN;0.7071875;0.658831176161766;0.6521494948863983;12.4;;
STD;0.02925006677342807;0.022286975656002402;0.020243079083127287;0.839047078536121;;

