-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]
wavelet_s ; [0.00390625, 0.015625, 0.0625, 0.25, 0.5, 1]
sparse_ness ; [False]
sparse_mode ; [False]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 32
wavelet_s ; 0.015625
sparse_ness ; False
sparse_mode ; False
mode ; 0.03

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden;wavelet_s;sparse_ness;sparse_mode
0;0.971875;0.8506493091583252;0.8616822361946106;22.0;0.01;64;0.00390625;False;False
1;0.9875;0.9168830633163452;0.8485981225967407;21.6;0.01;64;0.015625;False;False
2;0.9875;0.8896103501319885;0.8467289566993713;23.2;0.01;64;0.015625;False;False
3;0.96875;0.8424241781234741;0.8616822242736817;63.4;0.01;16;0.015625;False;False
4;0.984375;0.9064934730529786;0.854205596446991;65.8;0.01;32;0.015625;False;False
5;0.98125;0.8796536445617675;0.8299065232276917;39.8;0.01;64;0.00390625;False;False
6;0.996875;0.880519449710846;0.8504672765731811;23.2;0.01;64;0.00390625;False;False
7;0.9875;0.8887445449829101;0.8299065232276917;23.8;0.01;32;0.015625;False;False
8;0.9875;0.8692640542984009;0.8542056083679199;21.2;0.01;64;0.015625;False;False
9;0.9625;0.89870126247406;0.8429906487464904;25.4;0.01;32;0.015625;False;False
MEAN;0.9815625000000001;0.8822943329811096;0.848037371635437;32.93999999999999;;;;;
STD;0.010024384332715896;0.022174858992212193;0.010673865481869837;16.645972485859755;;;;;

