-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden_layer_sizes ; [16, 32, 64]
activation ; [<function relu at 0x000002658D0EB438>, <function tanh at 0x000002658CEDAEE8>, <function sigmoid at 0x000002658D110F78>]

-- Best parameters: 
learning_rate ; 0.01
hidden_layer_sizes ; 16
activation ; <function tanh at 0x000002658CEDAEE8>
mode ; 0.03

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden_layer_sizes;activation
0;0.99375;0.870562744140625;0.86355140209198;78.8;0.01;64;<function sigmoid at 0x000002658D110F78>
1;1.0;0.9259739637374877;0.8579439282417297;37.2;0.01;64;<function tanh at 0x000002658CEDAEE8>
2;0.996875;0.8982683897018433;0.854205596446991;73.8;0.01;16;<function tanh at 0x000002658CEDAEE8>
3;0.996875;0.8701298356056213;0.8785046815872193;41.8;0.01;32;<function tanh at 0x000002658CEDAEE8>
4;0.99375;0.9073592782020569;0.8616822361946106;40.4;0.01;16;<function tanh at 0x000002658CEDAEE8>
5;1.0;0.8800865411758423;0.8467289566993713;41.4;0.01;64;<function relu at 0x000002658D0EB438>
6;0.996875;0.8619047045707703;0.8429906249046326;43.4;0.01;16;<function relu at 0x000002658D0EB438>
7;1.0;0.8887445449829101;0.8598130941390991;38.6;0.01;32;<function relu at 0x000002658D0EB438>
8;1.0;0.9264069080352784;0.854205596446991;37.2;0.01;64;<function relu at 0x000002658D0EB438>
9;0.9875;0.898701274394989;0.8841121673583985;39.8;0.01;16;<function tanh at 0x000002658CEDAEE8>
MEAN;0.9965624999999999;0.8928138184547425;0.8603738284111022;47.239999999999995;;;
STD;0.0038145486299167673;0.02155844397813535;0.012143791728105363;14.691167414470504;;;

