-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.05

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.767965367965368;0.8186915887850468;0.0;rbf
1;1.0;0.9073593073593074;0.8224299065420559;0.0;rbf
2;1.0;0.8887445887445887;0.8299065420560747;0.0;rbf
3;1.0;0.8069264069264068;0.794392523364486;0.0;rbf
4;1.0;0.8428571428571429;0.8074766355140188;0.0;sigmoid
5;1.0;0.8714285714285713;0.7626168224299066;0.0;sigmoid
6;1.0;0.8341991341991342;0.8130841121495326;0.0;rbf
7;1.0;0.8705627705627705;0.8317757009345794;0.0;sigmoid
8;1.0;0.8415584415584416;0.794392523364486;0.0;sigmoid
9;1.0;0.8428571428571429;0.8542056074766355;0.0;sigmoid
MEAN;1.0;0.8474458874458873;0.8128971962616823;0.0;
STD;0.0;0.038230868357461215;0.023914279034170517;0.0;

