-- Parameters range: 
activation ; [<function tanh at 0x000001F87BAE0A68>]
learning_rate ; [0.001, 0.01]
hops ; [1, 2, 3]

-- Best parameters: 
activation ; <function tanh at 0x000001F87BAE0A68>
learning_rate ; 0.001
hops ; 3
mode ; 0.05

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;activation;learning_rate;hops
0;0.8889062643051148;0.64782634973526;0.6442532181739807;14.8;<function tanh at 0x000001F87BAE0A68>;0.01;2
1;0.739843738079071;0.6269259214401245;0.6481868505477906;30.2;<function tanh at 0x000001F87BAE0A68>;0.001;2
2;0.7448437571525574;0.6348900675773621;0.6438844323158264;29.6;<function tanh at 0x000001F87BAE0A68>;0.001;2
3;0.7676562428474426;0.6509032607078552;0.6554394483566284;36.0;<function tanh at 0x000001F87BAE0A68>;0.001;2
4;0.7667187571525573;0.6484379291534423;0.6613398671150208;33.0;<function tanh at 0x000001F87BAE0A68>;0.001;3
5;0.7579687356948852;0.653353476524353;0.6415488719940186;31.8;<function tanh at 0x000001F87BAE0A68>;0.001;3
6;0.7704687476158142;0.639218521118164;0.6658881545066834;36.4;<function tanh at 0x000001F87BAE0A68>;0.001;3
7;0.780468738079071;0.6558206796646118;0.6544560551643371;35.4;<function tanh at 0x000001F87BAE0A68>;0.001;3
8;0.7762500166893005;0.659509253501892;0.6567916393280029;35.4;<function tanh at 0x000001F87BAE0A68>;0.001;3
9;0.784375011920929;0.6490438938140869;0.6519975423812866;41.2;<function tanh at 0x000001F87BAE0A68>;0.001;2
MEAN;0.7777500009536743;0.6465929353237152;0.6523786079883576;32.379999999999995;;;
STD;0.03949283502238598;0.009514879964920278;0.007544160599666804;6.689962630687858;;;

