-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 64
mode ; 0.05

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden
0;0.6345312476158143;0.48251062631607056;0.4845728278160095;12.0;0.01;64
1;0.6223437547683716;0.4720226526260376;0.4999385416507721;13.0;0.01;64
2;0.592968738079071;0.47694573998451234;0.48444990515708924;12.8;0.01;32
3;0.6300000071525573;0.4916791319847107;0.49231715202331544;12.2;0.01;64
4;0.57265625;0.49785560369491577;0.4811309099197388;17.4;0.001;64
5;0.5401562452316284;0.4738914668560028;0.4827289402484894;24.0;0.001;32
6;0.5629687428474426;0.4726531505584717;0.49354639649391174;20.2;0.001;64
7;0.6251562595367431;0.4794223725795746;0.4846957564353943;12.4;0.01;64
8;0.5948437571525573;0.4855554699897766;0.4867854952812195;12.0;0.01;32
9;0.6328125;0.4812534272670746;0.4812538385391235;12.0;0.01;64
MEAN;0.6008437502384185;0.4813789641857148;0.4871419763565063;14.8;;
STD;0.03173377445771272;0.007997108595505878;0.005846263254326509;4.047715405015525;;

