-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [32, 64]
wavelet_s ; [0.00390625, 0.015625, 0.0625, 0.25]
sparse_ness ; [False]
sparse_mode ; [False]

-- Best parameters: 
learning_rate ; 0.001
hidden ; 64
wavelet_s ; 0.015625
sparse_ness ; False
sparse_mode ; False
mode ; 0.06999999999999999

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden;wavelet_s;sparse_ness;sparse_mode
0;0.8010937571525574;0.5980612993240356;0.6;28.0;0.001;64;0.015625;False;False
1;0.7835937380790711;0.5906653761863708;0.6098340630531311;25.8;0.001;64;0.015625;False;False
2;0.8153124928474427;0.594976830482483;0.6068838357925415;33.6;0.001;64;0.015625;False;False
3;0.8176562428474426;0.6115638613700867;0.6100799083709717;32.2;0.001;64;0.015625;False;False
4;0.8149999976158142;0.6085058808326721;0.6035648465156556;29.0;0.001;64;0.015625;False;False
5;0.8799999952316284;0.6011231303215027;0.6041794776916504;12.0;0.01;64;0.00390625;False;False
6;0.8957812547683716;0.5937479496002197;0.6045482397079468;12.6;0.01;64;0.015625;False;False
7;0.836718738079071;0.5998621463775635;0.6148739933967591;34.8;0.001;64;0.015625;False;False
8;0.7571874976158142;0.5967946529388428;0.5948371291160583;37.4;0.001;32;0.015625;False;False
9;0.82578125;0.6152430057525635;0.5953288435935974;30.8;0.001;64;0.015625;False;False
MEAN;0.8228124964237213;0.601054413318634;0.6044130337238312;27.619999999999997;;;;;
STD;0.039060688705412384;0.007707613455620273;0.00609528624465165;8.300578293107053;;;;;

