-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden_layer_sizes ; [16, 32, 64]
activation ; [<function relu at 0x000002658D0EB438>, <function tanh at 0x000002658CEDAEE8>, <function sigmoid at 0x000002658D110F78>]

-- Best parameters: 
learning_rate ; 0.001
hidden_layer_sizes ; 64
activation ; <function sigmoid at 0x000002658D110F78>
mode ; 0.06999999999999999

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden_layer_sizes;activation
0;0.7834375023841857;0.610963761806488;0.601598036289215;41.8;0.001;64;<function sigmoid at 0x000002658D110F78>
1;0.7818750023841858;0.6060406804084778;0.6105715990066528;44.0;0.001;64;<function sigmoid at 0x000002658D110F78>
2;0.7901562571525573;0.6078698396682739;0.6109403729438782;41.6;0.001;64;<function sigmoid at 0x000002658D110F78>
3;0.7735937476158142;0.6005173206329346;0.6052858114242554;40.0;0.001;64;<function sigmoid at 0x000002658D110F78>
4;0.765625;0.6109505414962768;0.5904118180274963;52.8;0.001;32;<function sigmoid at 0x000002658D110F78>
5;0.7801562547683716;0.6201831817626953;0.6018438816070557;38.6;0.001;64;<function sigmoid at 0x000002658D110F78>
6;0.7762499928474427;0.6004965662956238;0.6090964794158935;36.6;0.001;64;<function sigmoid at 0x000002658D110F78>
7;0.7545312523841858;0.5968174576759339;0.6004917025566101;47.4;0.001;32;<function sigmoid at 0x000002658D110F78>
8;0.7940624952316284;0.5955980062484741;0.6206515073776245;47.0;0.001;64;<function sigmoid at 0x000002658D110F78>
9;0.7456249952316284;0.5968174338340759;0.5858635544776917;45.0;0.001;32;<function sigmoid at 0x000002658D110F78>
MEAN;0.77453125;0.6046254789829254;0.6036754763126373;43.48;;;
STD;0.014523184376009952;0.007563742108378485;0.00965141138857611;4.547702716757109;;;

