-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.08

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.8726153846153846;0.9136000000000001;0.0;rbf
1;1.0;0.8578461538461537;0.8752000000000001;0.0;sigmoid
2;1.0;0.9123076923076923;0.8608;0.0;rbf
3;1.0;0.9206153846153846;0.8736;0.0;rbf
4;1.0;0.8969230769230769;0.8832000000000001;0.0;sigmoid
5;1.0;0.8892307692307693;0.9008;0.0;rbf
6;1.0;0.9049230769230769;0.9184000000000001;0.0;rbf
7;1.0;0.9049230769230767;0.8592000000000001;0.0;rbf
8;1.0;0.8886153846153846;0.9024000000000001;0.0;rbf
9;1.0;0.8972307692307693;0.8992000000000001;0.0;rbf
MEAN;1.0;0.8945230769230769;0.88864;0.0;
STD;0.0;0.017648132140465688;0.020088763028120984;0.0;

