-- Parameters range: 
activation ; [<function tanh at 0x000001F87BAE0A68>]
learning_rate ; [0.001, 0.01]
hops ; [1, 2, 3]

-- Best parameters: 
activation ; <function tanh at 0x000001F87BAE0A68>
learning_rate ; 0.01
hops ; 3
mode ; 0.06

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;activation;learning_rate;hops
0;0.85;0.7390768766403198;0.8303999543190003;26.6;<function tanh at 0x000001F87BAE0A68>;0.01;3
1;0.934375;0.8181538105010986;0.8239999294281006;31.2;<function tanh at 0x000001F87BAE0A68>;0.01;3
2;0.9125;0.8409230470657348;0.8287999272346497;33.6;<function tanh at 0x000001F87BAE0A68>;0.01;3
3;0.878125;0.8344614863395691;0.80159991979599;29.6;<function tanh at 0x000001F87BAE0A68>;0.01;2
4;0.93125;0.81723073720932;0.8639999628067017;31.0;<function tanh at 0x000001F87BAE0A68>;0.01;3
5;0.946875;0.8889230251312256;0.8639999628067017;36.4;<function tanh at 0x000001F87BAE0A68>;0.01;2
6;0.8625;0.7867691874504089;0.8319999575614929;28.4;<function tanh at 0x000001F87BAE0A68>;0.01;2
7;0.971875;0.8575384259223938;0.8335999727249146;34.6;<function tanh at 0x000001F87BAE0A68>;0.01;3
8;0.971875;0.8655384302139282;0.8767999172210693;41.2;<function tanh at 0x000001F87BAE0A68>;0.01;2
9;0.871875;0.7630768656730652;0.7423999667167663;23.0;<function tanh at 0x000001F87BAE0A68>;0.01;3
MEAN;0.913125;0.8211691892147064;0.8297599470615387;31.560000000000002;;;
STD;0.04277484658067169;0.04446421386064312;0.0361061517544219;4.918373714959041;;;

