-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 64
mode ; 0.05

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden
0;0.778125;0.6196922779083252;0.5919999837875366;13.0;0.01;64
1;0.721875;0.571384596824646;0.6015999555587769;11.4;0.01;64
2;0.790625;0.7224615216255188;0.5599999547004699;17.4;0.01;32
3;0.75625;0.5720000028610229;0.6383999705314636;16.2;0.01;64
4;0.775;0.6113845825195312;0.6095999598503112;12.4;0.01;64
5;0.7625;0.6744615077972412;0.5487999677658081;18.8;0.01;16
6;0.71875;0.5636922955513001;0.6559999465942383;12.8;0.01;32
7;0.7625;0.6193845987319946;0.5903999447822571;15.2;0.01;32
8;0.725;0.6670768976211547;0.6383999705314636;15.6;0.01;32
9;0.765625;0.6279999852180481;0.5375999569892883;13.0;0.01;64
MEAN;0.755625;0.6249538266658784;0.5972799611091614;14.579999999999998;;
STD;0.023954709870920996;0.04838591000862434;0.03791729958145991;2.2986082745870378;;

