-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]
wavelet_s ; [0.00390625, 0.015625, 0.0625, 0.25, 0.5, 1]
sparse_ness ; [False]
sparse_mode ; [False]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 64
wavelet_s ; 0.015625
sparse_ness ; False
sparse_mode ; False
mode ; 0.04

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden;wavelet_s;sparse_ness;sparse_mode
0;0.940625;0.8889230370521546;0.9071998119354248;19.2;0.01;32;0.015625;False;False
1;0.971875;0.8575384378433227;0.8863998413085937;24.8;0.01;16;0.00390625;False;False
2;0.990625;0.9283076882362366;0.8655998706817627;23.8;0.01;64;0.015625;False;False
3;0.9875;0.928615391254425;0.8239998340606689;29.4;0.01;16;0.015625;False;False
4;0.9625;0.8738461375236511;0.8831997990608216;21.0;0.01;32;0.015625;False;False
5;0.984375;0.8895384550094605;0.8815997958183288;21.6;0.01;64;0.015625;False;False
6;0.978125;0.8889230370521546;0.865599799156189;18.4;0.01;64;0.015625;False;False
7;0.984375;0.9052307605743408;0.8415998339653015;54.4;0.01;64;0.015625;False;False
8;0.98125;0.9126153588294983;0.8815997958183288;62.4;0.01;32;0.015625;False;False
9;0.99375;0.9212307453155517;0.8735998034477234;24.2;0.01;64;0.00390625;False;False
MEAN;0.9775;0.8994769048690795;0.8710398185253144;29.919999999999998;;;;;
STD;0.015039011769394943;0.022575502539484836;0.022493510144510197;14.653654834204334;;;;;

