-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden_layer_sizes ; [16, 32, 64]
activation ; [<function relu at 0x000002658D0EB438>, <function tanh at 0x000002658CEDAEE8>, <function sigmoid at 0x000002658D110F78>]

-- Best parameters: 
learning_rate ; 0.01
hidden_layer_sizes ; 32
activation ; <function relu at 0x000002658D0EB438>
mode ; 0.03

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden_layer_sizes;activation
0;0.984375;0.8732307314872741;0.9039998412132263;30.2;0.01;32;<function relu at 0x000002658D0EB438>
1;0.984375;0.8658461332321167;0.8927998185157776;36.8;0.01;16;<function relu at 0x000002658D0EB438>
2;1.0;0.9203076839447022;0.8735998153686524;30.8;0.01;64;<function relu at 0x000002658D0EB438>
3;1.0;0.9446153759956359;0.8655998468399048;99.2;0.01;64;<function relu at 0x000002658D0EB438>
4;1.0;0.8892307281494141;0.9039998650550842;39.8;0.01;64;<function relu at 0x000002658D0EB438>
5;0.99375;0.8975384712219239;0.875199818611145;97.4;0.01;32;<function relu at 0x000002658D0EB438>
6;1.0;0.9203076362609863;0.895999801158905;66.0;0.01;64;<function tanh at 0x000002658CEDAEE8>
7;0.996875;0.9135384202003479;0.8607998490333557;99.6;0.01;32;<function tanh at 0x000002658CEDAEE8>
8;1.0;0.9046153545379638;0.9007997870445251;62.4;0.01;32;<function relu at 0x000002658D0EB438>
9;0.996875;0.9372307419776916;0.8687997937202454;98.4;0.01;32;<function tanh at 0x000002658CEDAEE8>
MEAN;0.9956249999999999;0.9066461277008055;0.8841598236560821;66.05999999999999;;;
STD;0.005962120008855908;0.02443247617014667;0.016114787116964006;28.878372530321027;;;

